School Short Name,School ID,Website URL
HAWTHORNE,609974,http://www.hawthorneacad.org
HAY,609975,http://johnhayacademy.org
HAYT,609976,http://hayt.cps.edu
HEALY,609979,http://healy.cps.edu/
HEARST,609981,http://www.hearst.cps.edu
HEDGES,609983,http://www.hedges.cps.edu
HEFFERAN,609985,http://www.hefferan.cps.k12.il.us
HENDERSON,609986,
HENDRICKS,609987,http://www.hendricks.cps.edu
HENRY,609988,http://www.patrickhenryes.org
HERNANDEZ,610532,http://www.ichernandez.org
HERZL,609991,http://auslchicago.org/schools/pages/herzl
HIBBARD,609994,http://hibbardelementaryschool.weebly.com/
HIGGINS,610295,http://www.higgins.cps.k12.il.us
HIRSCH HS,609712,
HITCH,609995,http://www.hitchschool.org
HOLDEN,609996,http://www.Holdenschool.org
HOLMES,609997,
HOPE HS,609768,http://johnhopecollegeprephs.org/
HOPE INSTITUTE,400043,http://www.hopeinstitutelearningacademy.org
HORIZON - SOUTHWEST,400167,http://www.hsaswchicago.org
HOWE,610000,http://www.howeschoolofexcellence.org
HOYNE,610002,http://thomashoyne.org
HUBBARD HS,609741,http://www.hubbardhighschool.org
HUGHES C,610005,http://hughesce.cps.edu/
HUGHES L,610368,http://hugheselementary.weebly.com/
HURLEY,610006,http://www.hurleyhawks.org/
HYDE PARK HS,609713,http://www.hydeparkcps.org
INFINITY HS,610384,http://imst.lvlhs.org
INSTITUTO - HEALTH,400104,http://healthacademy.idpl.org
INSTITUTO - LOZANO HS,400148,
INSTITUTO - LOZANO MASTERY HS,400164,
INTER-AMERICAN,610078,http://www.iamschicago.com
INTRINSIC HS,400162,http://intrinsicschools.org
IRVING,610121,http://irving.cps.edu
JACKSON A,610060,http://www.andrewjackson.cps.edu
JACKSON M,610369,http://www.mjacksoncps.com/
JAHN,610010,http://jahnschool.com
JAMIESON,610011,http://www.jamiesonschool.org
JEFFERSON HS,609783,http://jefferson.cps.edu
JENNER,610012,http://jenner.cps.edu
JENSEN,610271,http://www.jensen.cps.edu
JOHNSON,610274,http://auslchicago.org/schools/pages/johnson
JONES HS,609678,http://www.jonescollegeprep.org
JOPLIN,609805,http://www.scottjoplinschool.org
JORDAN,609865,http://www.jordan.cps.edu
JUAREZ HS,609764,http://www.benitojuarez.net
JULIAN HS,609762,http://www.pljulianhs.net
JUNGMAN,610015,
KANOON,609920,
KELLER,610084,http://www.keller.cps.k12.il.us
KELLMAN,609925,http://www.kellman.cps.edu/
KELLOGG,610016,http://www.kellogg.cps.edu
KELLY HS,609715,http://www.kellyhs.org
KELVYN PARK HS,609716,http://www.kelvynparkhs.org
KENNEDY HS,609718,http://www.kennedyhschicago.org
KENWOOD HS,609746,http://www.kenwoodacademy.org
KERSHAW,610019,http://www.kershawmagnet.org/
KILMER,610022,http://www.kilmerelementary.org
KING ES,610299,http://www.kingacademy.cps.edu
KING HS,609751,http://www.newkcp.org
KINZIE,610026,https://kinzie.cps.edu
KIPLING,610027,http://www.kiplingtigers.org
KIPP - ASCEND,400044,http://www.kippchicago.org
KIPP CHICAGO - ASCEND PRIMARY,400177,http://www.kippchicago.org
KIPP CHICAGO - BLOOM,400163,http://www.kippchicago.org
KIPP CHICAGO - CREATE,400146,http://www.kippchicago.org
KOZMINSKI,610030,http://www.kozacademy.org
LAKE VIEW HS,609719,http://www.lakeviewhs.com
LANE TECH HS,609720,http://www.lanetech.org
LANGFORD,609869,http://www.langfordacademy.org
LARA,609993,http://lara.cps.edu/
LASALLE,610033,http://www.lasallechicago.com
LASALLE II,610520,http://www.lasalle2school.com
LAVIZZO,610208,http://www.edline.net/pages/Lavizzo_Elementary_School
LAWNDALE,610034,
LEARN - 7,400151,http://www.learncharter.org
LEARN - BUTLER,400046,http://www.learncharter.org
LEARN - CAMPBELL,400047,http://www.learncharter.org
LEARN - EXCEL,400048,http://www.learncharter.org
LEARN - MIDDLE,400165,http://www.learncharter.org
LEARN - PERKINS,400111,http://www.learncharter.org
LEARN - SOUTH CHICAGO,400107,http://www.learncharter.org
LEE,610291,http://www.leelions.org
LEGACY,400049,http://www.legacycharterschool.org
