Early College Credit and Career Certification (ECCC) SY2015 Metric,,,"The Early College Credit and Career Certification (ECCC) metric used in SQRP measures the percent of students graduating in the most recent year who have earned at least one credit from an approved early college course, a 3+ on an AP exam, a 4+ on an IB exam, or an approved career certification. This metric measures the extent to which students are offered the opportunity to pursue early college credit and career certifications during their high school career.                                                                                                                                                                                          ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
School ID,School Name,Network,Graduates,Students Earning ECCC,,Dual Credit,,Dual Enrollment,,AP Exam,,IB Exam,,CTE,,JROTC,
,,,Number,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
610518,VOISE HS,Network 3,62,2,3.2,0,0.0,0,0.0,0,0.0,0,0.0,2,3.2,0,0.0
610524,ALCOTT HS,Network 4,47,3,6.4,0,0.0,0,0.0,3,6.4,0,0.0,0,0.0,0,0.0
610529,OGDEN HS,Network 6,112,40,35.7,0,0.0,4,3.6,19,17.0,24,21.4,0,0.0,0,0.0
610543,SOLORIO HS,AUSL,214,82,38.3,2,0.9,19,8.9,68,31.8,0,0.0,1,0.5,0,0.0
610547,SOUTH SHORE INTL HS,Network 12,214,37,17.3,0,0.0,2,0.9,4,1.9,5,2.3,18,8.4,13,6.1
610555,BANNER ACADEMY WEST HS,Options,78,1,1.3,0,0.0,0,0.0,1,1.3,0,0.0,0,0.0,0,0.0
610557,PATHWAYS EDUCATION HS,Options,92,4,4.3,0,0.0,0,0.0,4,4.3,0,0.0,1,1.1,0,0.0
610565,EXCEL ACADAMY-ENGLEWOOD HS,Options,77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
610566,MAGIC JOHNSON ACADEMY-NORTH LAWNDALE HS,Options,22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
610567,MAGIC JOHNSON ACADEMY-SOUTH SHORE HS,Options,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
610568,PATHWAYS EDUCATION-AVONDALE HS,Options,52,2,3.8,0,0.0,0,0.0,0,0.0,0,0.0,2,3.8,0,0.0
610569,OMBUDSMAN_1,Options,41,3,7.3,0,0.0,1,2.4,2,4.9,0,0.0,0,0.0,0,0.0
610570,OMBUDSMAN_2,Options,36,2,5.6,0,0.0,0,0.0,1,2.8,0,0.0,1,2.8,0,0.0
610571,OMBUDSMAN_3,Options,52,4,7.7,0,0.0,0,0.0,2,3.8,0,0.0,1,1.9,1,1.9
610573,CAMELOT SAFE ACADEMY HS,Options,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*
610580,MAGIC JOHNSON - HUMBOLDT PARK,Options,21,1,4.8,0,0.0,0,0.0,1,4.8,0,0.0,0,0.0,0,0.0
610582,MAGIC JOHNSON - ENGLEWOOD,Options,22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
800003,BEACON THERAPEUTIC HS,,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*
800007,ESPERANZA THERAPEUTIC HS,,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*
800008,HILLSIDE ACAD EAST THERAPEUTIC HS,,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*
800011,JEWISH CHILD FAMILY THERAPEUTIC HS,,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*
800012,LAWRENCE HALL THERAPEUTIC HS,,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*
800014,SOUTH CENTRAL THERAPEUTIC HS,,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*
800016,UCAN THERAPEUTIC HS,,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*
