NORTH RIVER|4416 N Troy St Chicago, IL 60625
CLARK HS|5101 W Harrison St Chicago, IL 60644
SCHUBERT|2727 N Long Ave Chicago, IL 60639
YCCS - VIRTUAL|1900 W Van Buren St Chicago, IL 60612
GALLISTEL|10347 S Ewing Ave Chicago, IL 60617
MONTEFIORE|1310 S Ashland Ave Chicago, IL 60608
DISNEY|4140 N Marine Dr Chicago, IL 60613
YCCS - SULLIVAN|8164 S South Chicago Ave Chicago, IL 60617
HOWE|720 N Lorel Ave Chicago, IL 60644
YOUNG WOMENS HS|2641 S Calumet Ave Chicago, IL 60616
BEAUBIEN|5025 N Laramie Ave Chicago, IL 60630
LITTLE BLACK PEARL HS|1060 E 47th St Chicago, IL 60653
UNO - GARCIA HS|4248 W 47th St Chicago, IL 60632
DULLES|6311 S Calumet Ave Chicago, IL 60637
GRESHAM|8524 S Green St Chicago, IL 60620
MANN|8050 S Chappel Ave Chicago, IL 60617
ELLINGTON|243 N Parkside Ave Chicago, IL 60644
BURNHAM|9928 S Crandon Ave Chicago, IL 60617
WASHINGTON H ES|9130 S University Ave Chicago, IL 60619
CHOPIN|2450 W Rice St Chicago, IL 60622
NOBLE - BUTLER HS|821 E 103rd St Chicago, IL 60628
YCCS - MCKINLEY|2920 S Wabash Ave Chicago, IL 60616
AUSTIN BUS & ENTRP HS|231 N Pine Ave Chicago, IL 60644
KIPP CHICAGO - CREATE|4818 W OHIO St Chicago, IL 60644-
UNO - TORRES|4248 W 47th St Chicago, IL 60632
HANCOCK HS|4034 W 56th St Chicago, IL 60629
EVERS|9811 S Lowe Ave Chicago, IL 60628
NKRUMAH|314 W 108th St Chicago, IL 60628
ZAPATA|2728 S Kostner Ave Chicago, IL 60623
LOCKE A|3141 W Jackson Blvd Chicago, IL 60612
RABY HS|3545 W Fulton Blvd Chicago, IL 60624
FULLER|4214 S St Lawrence Ave Chicago, IL 60653
CHICAGO MILITARY HS|3519 S Giles Ave Chicago, IL 60653
PRIETO|2231 N Central Ave Chicago, IL 60639
LENART|8101 S LaSalle St Chicago, IL 60620
BRIDGE|3800 N New England Ave Chicago, IL 60634
EBERHART|3400 W 65th Pl Chicago, IL 60629
NAMASTE|3737 S Paulina St Chicago, IL 60609
HENDERSON|5650 S Wolcott Ave Chicago, IL 60636
SHABAZZ - SHABAZZ|7823 S Ellis Ave Chicago, IL 60619
NOBLE - GOLDER HS|1454 W Superior St Chicago, IL 60642
BLACK|9101 S Euclid Ave Chicago, IL 60619
U OF C - WOODLAWN HS|6420 S University Ave Chicago, IL 60637
MCNAIR|4820 W Walton St Chicago, IL 60651
YCCS - SCHOLASTIC ACHIEVEMENT|4651 W Madison St Chicago, IL 60644
POE|10538 S Langley Ave Chicago, IL 60628
DISNEY II ES|3815 N Kedvale Ave Chicago, IL 60641
CROWN|2128 S Saint Louis Ave Chicago, IL 60623
ADDAMS|10810 S Avenue H Chicago, IL 60617
DAWES|3810 W 81st Pl Chicago, IL 60652
HEDGES|4747 S Winchester Ave Chicago, IL 60609
OGLESBY|7646 S Green St Chicago, IL 60620
BOONE|6710 N Washtenaw Ave Chicago, IL 60645
CLEVELAND|3121 W Byron St Chicago, IL 60618
STEINMETZ HS|3030 N Mobile Ave Chicago, IL 60634
CARROLL|2929 W 83rd St Chicago, IL 60652
NINOS HEROES|8344 S Commercial Ave Chicago, IL 60617
HAMLINE|4747 S Bishop St Chicago, IL 60609
LARA|4619 S Wolcott Ave Chicago, IL 60609
MARSHALL MIDDLE|3900 N Lawndale Ave Chicago, IL 60618
AIR FORCE HS|3630 S Wells St Chicago, IL 60609
STONE|6239 N Leavitt St Chicago, IL 60659
WELLS HS|936 N Ashland Ave Chicago, IL 60622
CUFFE|8324 S Racine Ave Chicago, IL 60620
PRUSSING|4650 N Menard Ave Chicago, IL 60630
FERNWOOD|10041 S Union Ave Chicago, IL 60628
NORTHSIDE PREP HS|5501 N Kedzie Ave Chicago, IL 60625
WASHINGTON G ES|3611 E 114th St Chicago, IL 60617
WHITTIER|1900 W 23rd St Chicago, IL 60608
ONAHAN|6634 W Raven St Chicago, IL 60631
ORR HS|730 N Pulaski Rd Chicago, IL 60624
ASPIRA - EARLY COLLEGE HS|3986 W Barry Ave Chicago, IL 60618
CAMELOT - EXCEL WOODLAWN HS|7530 S South Shore Dr Chicago, IL 60649
ARMSTRONG G|2110 W Greenleaf Ave Chicago, IL 60645
YCCS - CAMPOS|2739 W DIVISION St Chicago, IL 60622-285
CAMELOT SAFE ES|7877 S Coles Ave Chicago, IL 60649
EDWARDS|4815 S Karlov Ave Chicago, IL 60632
NOBLE - BAKER HS|2710 E 89th St Chicago, IL 60617
CHICAGO ARTS HS|2714 W Augusta Blvd Chicago, IL 60622
CASSELL|11314 S Spaulding Ave Chicago, IL 60655
WOODLAWN|6657 S Kimbark Ave Chicago, IL 60637
BRENNEMANN|4251 N Clarendon Ave Chicago, IL 60613
CICS - LONGWOOD|1309 W 95th St Chicago, IL 60643
DECATUR|7030 N Sacramento Ave Chicago, IL 60645
HAYT|1518 W Granville Ave Chicago, IL 60660
SKINNER NORTH|640 W Scott St Chicago, IL 60610
YCCS - AUSTIN CAREER|5352 W Chicago Ave Chicago, IL 60651
COLUMBUS|1003 N Leavitt St Chicago, IL 60622
SHOOP|11140 S Bishop St Chicago, IL 60643
SOLOMON|6206 N Hamlin Ave Chicago, IL 60659
BEASLEY|5255 S State St Chicago, IL 60609
HORIZON - SOUTHWEST|5401 S Western Ave Chicago, IL 60609
LEARN - BUTLER|1132 S Homan Ave Chicago, IL 60624
MAGIC JOHNSON - HUMBOLDT PK HS|2421 W Division Chicago, IL 60622
NOBLE - UIC HS|1231 S Damen Ave Chicago, IL 60608
WADSWORTH|6650 S Ellis Ave Chicago, IL 60637
CICS - ELLISON HS|1817 W 80th St Chicago, IL 60620
PROVIDENCE ENGLEWOOD|6515 S Ashland Ave Chicago, IL 60636
RAVENSWOOD|4332 N Paulina St Chicago, IL 60613
MURRAY|5335 S Kenwood Ave Chicago, IL 60615
YCCS - WESTSIDE HOLISTIC|4909 W Division St Chicago, IL 60651
TANNER|7350 S Evans Ave Chicago, IL 60619
DOOLITTLE|535 E 35th St Chicago, IL 60616
JOHNSON|1420 S Albany Ave Chicago, IL 60623
JENSEN|3030 W Harrison St Chicago, IL 60612
COONLEY|4046 N Leavitt St Chicago, IL 60618
SOUTH SHORE ES|1415 E 70th St Chicago, IL 60637
WESTINGHOUSE HS|3223 W Franklin Blvd Chicago, IL 60624
UNO - FUENTES|2845 W Barry Ave Chicago, IL 60618
